Epoch 104: Loss=0.5219, Accuracy=72.4698, Precision=0.7244, F1=0.7229
Epoch 105: Loss=0.5219, Accuracy=72.5829, Precision=0.7247, F1=0.7240
Epoch 106: Loss=0.5192, Accuracy=72.6346, Precision=0.7262, F1=0.7248
Epoch 107: Loss=0.5190, Accuracy=72.5551, Precision=0.7253, F1=0.7238
Epoch 108: Loss=0.5173, Accuracy=72.7286, Precision=0.7278, F1=0.7265
Epoch 109: Loss=0.5174, Accuracy=72.7362, Precision=0.7265, F1=0.7260
Epoch 110: Loss=0.5151, Accuracy=72.8609, Precision=0.7280, F1=0.7264
Epoch 111: Loss=0.5174, Accuracy=72.7315, Precision=0.7263, F1=0.7255
Epoch 112: Loss=0.5125, Accuracy=73.0037, Precision=0.7293, F1=0.7286
Epoch 113: Loss=0.5125, Accuracy=72.8541, Precision=0.7269, F1=0.7266
Epoch 114: Loss=0.5149, Accuracy=72.8618, Precision=0.7260, F1=0.7269
Epoch 115: Loss=0.5157, Accuracy=72.8072, Precision=0.7285, F1=0.7268
Epoch 116: Loss=0.5147, Accuracy=72.7851, Precision=0.7265, F1=0.7256
Epoch 117: Loss=0.5108, Accuracy=72.9653, Precision=0.7292, F1=0.7278
Epoch 118: Loss=0.5129, Accuracy=72.6979, Precision=0.7255, F1=0.7247
Epoch 119: Loss=0.5113, Accuracy=72.9414, Precision=0.7295, F1=0.7283
Epoch 120: Loss=0.5101, Accuracy=72.7420, Precision=0.7290, F1=0.7264
Epoch 121: Loss=0.5093, Accuracy=72.9117, Precision=0.7280, F1=0.7270
Epoch 122: Loss=0.5061, Accuracy=73.2922, Precision=0.7321, F1=0.7305
Epoch 123: Loss=0.5092, Accuracy=72.9414, Precision=0.7271, F1=0.7279
Epoch 124: Loss=0.5062, Accuracy=72.9184, Precision=0.7277, F1=0.7277
Epoch 125: Loss=0.5059, Accuracy=73.0631, Precision=0.7298, F1=0.7284
Epoch 126: Loss=0.5054, Accuracy=73.1273, Precision=0.7306, F1=0.7293
Epoch 127: Loss=0.5034, Accuracy=73.1379, Precision=0.7323, F1=0.7290
Epoch 128: Loss=0.5035, Accuracy=73.0257, Precision=0.7288, F1=0.7283
Epoch 129: Loss=0.5021, Accuracy=73.2586, Precision=0.7318, F1=0.7303
Epoch 130: Loss=0.5063, Accuracy=73.1331, Precision=0.7297, F1=0.7293
Epoch 131: Loss=0.5037, Accuracy=73.1034, Precision=0.7300, F1=0.7295
Epoch 132: Loss=0.5013, Accuracy=73.1522, Precision=0.7329, F1=0.7291
Epoch 133: Loss=0.5038, Accuracy=73.1187, Precision=0.7308, F1=0.7291
Epoch 134: Loss=0.5014, Accuracy=73.1896, Precision=0.7324, F1=0.7303
Epoch 135: Loss=0.5001, Accuracy=73.1379, Precision=0.7327, F1=0.7299
Epoch 136: Loss=0.4948, Accuracy=73.5328, Precision=0.7334, F1=0.7331
Epoch 137: Loss=0.4956, Accuracy=73.3957, Precision=0.7337, F1=0.7315
Epoch 138: Loss=0.4950, Accuracy=73.3612, Precision=0.7350, F1=0.7319
Epoch 139: Loss=0.4939, Accuracy=73.3468, Precision=0.7329, F1=0.7314
Epoch 140: Loss=0.4980, Accuracy=73.2241, Precision=0.7322, F1=0.7303
Epoch 141: Loss=0.4962, Accuracy=73.4446, Precision=0.7350, F1=0.7326
Epoch 142: Loss=0.4949, Accuracy=73.6152, Precision=0.7381, F1=0.7342
Epoch 143: Loss=0.4938, Accuracy=73.4638, Precision=0.7335, F1=0.7321
Epoch 144: Loss=0.4930, Accuracy=73.4868, Precision=0.7338, F1=0.7330
Epoch 145: Loss=0.4940, Accuracy=73.4647, Precision=0.7367, F1=0.7327
Epoch 146: Loss=0.4952, Accuracy=73.3085, Precision=0.7328, F1=0.7313
Epoch 147: Loss=0.4915, Accuracy=73.4705, Precision=0.7351, F1=0.7331
Epoch 148: Loss=0.4926, Accuracy=73.3967, Precision=0.7339, F1=0.7319
Epoch 149: Loss=0.4928, Accuracy=73.4906, Precision=0.7367, F1=0.7334
Epoch 150: Loss=0.4910, Accuracy=73.4609, Precision=0.7356, F1=0.7321
Epoch 151: Loss=0.4914, Accuracy=73.3765, Precision=0.7338, F1=0.7319
Epoch 152: Loss=0.4890, Accuracy=73.5701, Precision=0.7378, F1=0.7341
Epoch 153: Loss=0.4902, Accuracy=73.3871, Precision=0.7337, F1=0.7316
Epoch 154: Loss=0.4898, Accuracy=73.2941, Precision=0.7324, F1=0.7309
Epoch 155: Loss=0.4900, Accuracy=73.5491, Precision=0.7373, F1=0.7338
Epoch 156: Loss=0.4871, Accuracy=73.5117, Precision=0.7357, F1=0.7329
Epoch 157: Loss=0.4890, Accuracy=73.4848, Precision=0.7347, F1=0.7334
Epoch 158: Loss=0.4852, Accuracy=73.6880, Precision=0.7374, F1=0.7349
Epoch 159: Loss=0.4883, Accuracy=73.5510, Precision=0.7376, F1=0.7340
Epoch 160: Loss=0.4867, Accuracy=73.6027, Precision=0.7366, F1=0.7340
Epoch 161: Loss=0.4849, Accuracy=73.5855, Precision=0.7370, F1=0.7341
Epoch 162: Loss=0.4859, Accuracy=73.6574, Precision=0.7353, F1=0.7347
Epoch 163: Loss=0.4875, Accuracy=73.5203, Precision=0.7360, F1=0.7329
Epoch 164: Loss=0.4823, Accuracy=73.6363, Precision=0.7366, F1=0.7338
Epoch 165: Loss=0.4842, Accuracy=73.6948, Precision=0.7373, F1=0.7341
Epoch 166: Loss=0.4823, Accuracy=73.7887, Precision=0.7374, F1=0.7355
Epoch 167: Loss=0.4817, Accuracy=73.8194, Precision=0.7384, F1=0.7358
Epoch 168: Loss=0.4822, Accuracy=74.0034, Precision=0.7393, F1=0.7376
Epoch 169: Loss=0.4837, Accuracy=73.7820, Precision=0.7381, F1=0.7362
Epoch 170: Loss=0.4804, Accuracy=73.8519, Precision=0.7408, F1=0.7370
Epoch 171: Loss=0.4816, Accuracy=73.7465, Precision=0.7381, F1=0.7363
Epoch 172: Loss=0.4800, Accuracy=73.7379, Precision=0.7349, F1=0.7347
Epoch 173: Loss=0.4825, Accuracy=73.9353, Precision=0.7415, F1=0.7377
