Epoch 284: Loss=0.4196, Accuracy=75.6592, Precision=0.7586, F1=0.7544
Epoch 285: Loss=0.4204, Accuracy=76.3100, Precision=0.7725, F1=0.7583
Epoch 286: Loss=0.4168, Accuracy=76.3569, Precision=0.7639, F1=0.7582
Epoch 287: Loss=0.4200, Accuracy=75.8269, Precision=0.7630, F1=0.7522
Epoch 288: Loss=0.4169, Accuracy=76.2362, Precision=0.7688, F1=0.7625
Epoch 289: Loss=0.4165, Accuracy=75.9343, Precision=0.7670, F1=0.7527
Epoch 290: Loss=0.4171, Accuracy=75.8873, Precision=0.7599, F1=0.7567
Epoch 291: Loss=0.4182, Accuracy=75.8739, Precision=0.7579, F1=0.7520
Epoch 292: Loss=0.4167, Accuracy=75.8873, Precision=0.7589, F1=0.7553
Epoch 293: Loss=0.4165, Accuracy=76.2026, Precision=0.7727, F1=0.7591
Epoch 294: Loss=0.4164, Accuracy=75.8068, Precision=0.7648, F1=0.7571
Epoch 295: Loss=0.4164, Accuracy=75.9410, Precision=0.7618, F1=0.7560
Epoch 296: Loss=0.4194, Accuracy=75.6122, Precision=0.7543, F1=0.7509
Epoch 297: Loss=0.4168, Accuracy=76.1959, Precision=0.7711, F1=0.7601
Epoch 298: Loss=0.4177, Accuracy=75.8135, Precision=0.7592, F1=0.7517
Epoch 299: Loss=0.4171, Accuracy=75.8940, Precision=0.7596, F1=0.7557
Epoch 300: Loss=0.4148, Accuracy=76.3703, Precision=0.7643, F1=0.7606
Epoch 301: Loss=0.4169, Accuracy=75.8068, Precision=0.7606, F1=0.7538
Epoch 302: Loss=0.4163, Accuracy=75.6927, Precision=0.7657, F1=0.7503
Epoch 303: Loss=0.4164, Accuracy=76.0751, Precision=0.7607, F1=0.7546
Epoch 304: Loss=0.4150, Accuracy=76.0148, Precision=0.7680, F1=0.7555
Epoch 305: Loss=0.4181, Accuracy=76.0751, Precision=0.7683, F1=0.7594
Epoch 306: Loss=0.4184, Accuracy=76.0215, Precision=0.7657, F1=0.7570
Epoch 307: Loss=0.4176, Accuracy=75.8202, Precision=0.7607, F1=0.7542
Epoch 308: Loss=0.4174, Accuracy=75.9879, Precision=0.7598, F1=0.7578
Epoch 309: Loss=0.4152, Accuracy=75.7598, Precision=0.7591, F1=0.7540
Epoch 310: Loss=0.4153, Accuracy=75.8135, Precision=0.7662, F1=0.7577
Epoch 311: Loss=0.4160, Accuracy=75.8202, Precision=0.7598, F1=0.7540
Epoch 312: Loss=0.4138, Accuracy=76.2965, Precision=0.7655, F1=0.7571
Epoch 313: Loss=0.4131, Accuracy=76.2898, Precision=0.7638, F1=0.7552
Epoch 314: Loss=0.4151, Accuracy=76.1154, Precision=0.7640, F1=0.7569
Epoch 315: Loss=0.4151, Accuracy=76.1087, Precision=0.7642, F1=0.7558
Epoch 316: Loss=0.4148, Accuracy=76.1557, Precision=0.7697, F1=0.7556
Epoch 317: Loss=0.4168, Accuracy=75.9879, Precision=0.7608, F1=0.7556
Epoch 318: Loss=0.4157, Accuracy=76.3435, Precision=0.7677, F1=0.7604
